mode,model_a,model_b,f1_a,f1_b,diff,diff_ci_low,diff_ci_high,p_permutation,distinguishable_at_95
partial,spacy,presidio,0.5655856767475641,0.6030932655084065,-0.03750758876084237,-0.0429330147298716,-0.03195156151152808,9.999000099990002e-05,True
partial,spacy,legalbert,0.5655856767475641,0.8537502379592614,-0.2881645612116973,-0.3019589407721695,-0.27493107797239497,9.999000099990002e-05,True
partial,spacy,roberta,0.5655856767475641,0.8559496974730099,-0.29036402072544576,-0.30359083957497185,-0.27756949308161655,9.999000099990002e-05,True
partial,presidio,legalbert,0.6030932655084065,0.8537502379592614,-0.25065697245085494,-0.26345246377034914,-0.2380568832726603,9.999000099990002e-05,True
partial,presidio,roberta,0.6030932655084065,0.8559496974730099,-0.2528564319646034,-0.2649117958611306,-0.24105460316711178,9.999000099990002e-05,True
partial,legalbert,roberta,0.8537502379592614,0.8559496974730099,-0.0021994595137484474,-0.008010154604633588,0.002948167933381233,0.4263573642635736,False
