model,mode,entity_type,precision,recall,f1,tp,fp,fn
roberta_finetuned_tab,partial,PERSON,0.8514741742407449,0.9282261962300629,0.8881951670713377,3841,670,297
roberta_finetuned_tab,partial,ORG,0.6595631326584976,0.6361767728674204,0.6476589066178394,1238,639,708
roberta_finetuned_tab,partial,LOC,0.7706117021276596,0.794379712131597,0.7823152210597367,1159,345,300
roberta_finetuned_tab,partial,DATETIME,0.9182052809211833,0.9700083892617449,0.9433962264150942,9250,824,286
roberta_finetuned_tab,partial,QUANTITY,0.666235446313066,0.7756024096385542,0.7167710508002784,515,258,149
roberta_finetuned_tab,partial,CODE,0.8676872607982504,0.9844913151364765,0.922406277244987,1587,242,25
roberta_finetuned_tab,partial,DEM,0.5580286168521462,0.38276990185387133,0.4540750323415266,351,278,566
roberta_finetuned_tab,partial,MISC,0.17110266159695817,0.08379888268156424,0.1125,45,218,492
roberta_finetuned_tab,partial,_ALL,0.8381174277726002,0.8643375462540247,0.8510255742979489,17986,3474,2823
roberta_finetuned_tab,exact,PERSON,0.7860784748392817,0.8569357177380377,0.8199791883454735,3546,965,592
roberta_finetuned_tab,exact,ORG,0.5444858817261587,0.5251798561151079,0.5346586450431599,1022,855,924
roberta_finetuned_tab,exact,LOC,0.706781914893617,0.7285812200137081,0.7175160310496118,1063,441,396
roberta_finetuned_tab,exact,DATETIME,0.8820726622989875,0.9318372483221476,0.9062723100458949,8886,1188,650
roberta_finetuned_tab,exact,QUANTITY,0.4670116429495472,0.5436746987951807,0.5024356297842728,361,412,303
roberta_finetuned_tab,exact,CODE,0.7845817386550027,0.8901985111662531,0.8340598663179309,1435,394,177
roberta_finetuned_tab,exact,DEM,0.38791732909379967,0.26608505997818976,0.31565329883570503,244,385,673
roberta_finetuned_tab,exact,MISC,0.06463878326996197,0.03165735567970205,0.04250000000000001,17,246,520
roberta_finetuned_tab,exact,_ALL,0.7723205964585275,0.7964822913162574,0.7842153824315692,16574,4886,4235
