model,mode,f1_as_evaluated,f1_overlap_deduped,delta,delta_ci_low,delta_ci_high,distinguishable,spans_removed,fp_removed,tp_removed
spacy,partial,0.5655856767475641,0.5655856767475641,0.0,0.0,0.0,False,0,0,0
presidio,partial,0.6030932655084065,0.6031686650081368,7.539949973034421e-05,-1.843496883147111e-05,0.00017516320042119656,False,10,9,1
legalbert,partial,0.8537502379592614,0.858826065090883,0.00507582713162158,0.004393012779922728,0.005770952011287685,True,267,259,8
roberta,partial,0.8559496974730099,0.863642894774654,0.0076931973016440836,0.006772578445193261,0.008628617266785779,True,387,382,5
