,spacy,legalbert,presidio
PERSON,0.8988047808764941,0.9060070671378093,0.8354741427454484
ORG,0.2965406730134791,0.633139227104288,0.21886559802712705
LOC,0.4676331759946056,0.7430025445292622,0.4331233790292701
DATETIME,0.906465122996197,0.9401986620717616,0.877113344758905
QUANTITY,0.2106447981990674,0.7229588276343335,0.0
CODE,0.0,0.9613733905579399,0.03284671532846715
DEM,0.3422222222222222,0.458161865569273,0.3508771929824562
MISC,0.014798772784695904,0.0907840440165062,0.0
