model,mode,max_length,stride,f1,ci_low,ci_high,tp,fp,fn,n_predictions,delta_vs_baseline,delta_ci_low,delta_ci_high,distinguishable_from_baseline
roberta,partial,512,0,0.8623747663103398,0.8535932263790327,0.8709669919268299,17990,2923,2819,20913,0.01134919201239093,0.008807611845489954,0.013940940227761782,True
roberta,partial,384,0,0.8615804990292658,0.8533606695523878,0.8697695979407748,17973,2939,2836,20912,0.010554924731316917,0.00819057212969744,0.012891345467393693,True
roberta,partial,256,0,0.8559520080950201,0.8479881828739173,0.8640414911012959,17764,2934,3045,20698,0.00492643379707125,0.0018526975534498198,0.007997903605225764,True
roberta,partial,512,64,0.8559496974730099,0.847459783111707,0.864400583443422,18037,3299,2772,21336,0.004924123175060968,0.0022427254257946063,0.00758276550916061,True
roberta,partial,512,128,0.8519235308000944,0.8432758730623215,0.8605418249746759,18048,3513,2761,21561,0.0008979565021455249,-0.0017881813349510222,0.0036857500365084237,False
roberta,partial,384,64,0.8510255742979489,0.8426390908405075,0.8593154623404532,17986,3474,2823,21460,0.0,0.0,0.0,False
roberta,partial,256,64,0.8412779850746268,0.8329618594176919,0.8495914814779544,18037,4034,2772,22071,-0.009747589223322084,-0.013356221972750628,-0.006254417782009343,True
roberta,partial,384,128,0.8393198229676218,0.8306844529675905,0.8479870163001849,18016,4105,2793,22121,-0.011705751330327141,-0.015833050496638034,-0.00769128123486837,True
roberta,partial,256,128,0.8219240391175802,0.813402381763059,0.8305367876051473,18070,5091,2739,23161,-0.02910153518036873,-0.03291878976466205,-0.025346018233288185,True
